FIPS,County Name,State,stateFIPS,population,population_density,no_households,household_income,p_poverty,p_white,p_black,p_native,p_asian,p_hispanic,p_belowcollege,blue
1001,Autauga County,AL,1,55869,35.85341899,21313,59338,3.6,76.72523875,19.63094189,0.480207191,1.224798115,2.965773997,43.9,-49.48
1003,Baldwin County,AL,1,223234,50.54150356,79734,57588,3.6,87.2852281,8.940382163,0.772399116,1.150342626,4.646778765,37.3,-57.79
1005,Barbour County,AL,1,24686,11.24798121,10354,34382,5.1,49.06957116,48.39837627,0.659137494,0.45416181,4.276355452,62.7,-5.61
1007,Bibb County,AL,1,22394,13.973114,7534,46064,3.9,76.83482143,21.29464286,0.4375,0.236607143,2.625,64.1,-55.54
1009,Blount County,AL,1,57826,34.51581642,20810,50412,3.5,95.87828492,1.642461964,0.653526971,0.319847856,9.571230982,53.8,-81.38
1011,Bullock County,AL,1,10101,6.41761955,3764,29267,4.6,26.24778063,70.70428092,0.838429671,0.187413691,7.960149931,64.5,50.86
1013,Butler County,AL,1,19448,9.952770785,6811,37365,4.7,52.25101626,44.91361789,0.37601626,1.316056911,1.509146341,59.3,-13.53
1015,Calhoun County,AL,1,113605,73.348688,46224,45400,4.6,75.27848998,21.13548658,0.539916169,0.96432353,3.910673189,48.3,-41.38
1017,Chambers County,AL,1,33254,21.89263808,13750,39917,3.8,57.0638108,40,0.306410828,1.326788636,2.561356537,57,-14.81
1019,Cherokee County,AL,1,26196,18.0333283,10727,42132,3.5,93.02781192,4.260141364,0.660725261,0.338045482,1.621081746,58.1,-69.36
1021,Chilton County,AL,1,44428,24.48066939,16896,47547,3.6,87.10393405,10.37075623,0.566212941,0.48694313,7.926981179,61.9,-66.61
1023,Choctaw County,AL,1,12589,5.526508604,5425,39907,5.4,57.18401994,41.70235963,0.186901332,0.179113776,1.043532435,56.8,-13.66
1025,Clarke County,AL,1,23622,7.603131652,9489,40741,7.4,53.43227425,44.62374582,0.526755853,0.434782609,1.362876254,62.5,-10.8
1027,Clay County,AL,1,13235,8.552331345,5330,39201,3.8,83.20903955,14.07156309,0.542372881,0.241054614,3.013182674,60.8,-60.8
1029,Cleburne County,AL,1,14910,10.29735391,5790,46495,4.2,94.97564556,2.94255021,0.49376126,0.220190832,2.482151198,62.2,-77.37
1031,Coffee County,AL,1,52342,29.16467291,20034,55122,3.9,75.84041303,17.70791192,1.410160088,1.635554528,7.580573696,41.7,-56.7
1033,Colbert County,AL,1,55241,35.49694998,21974,49055,4.5,80.59968591,16.20649355,0.662868412,0.589825061,2.675212739,51.6,-38.26
1035,Conecuh County,AL,1,12067,5.682995171,4584,32613,5.1,51.63313513,46.26537428,0.513154679,0.211778122,2.150362466,68,-5.26
1037,Coosa County,AL,1,10663,6.438885282,4257,42423,4.1,66.88754083,30.8819412,0.597293514,0.139990667,2.519832011,59,-30.56
1039,Covington County,AL,1,37049,13.99370346,15308,40203,4.5,84.54279998,12.61017682,0.692153788,0.465040826,1.74931055,52.5,-68.55
1041,Crenshaw County,AL,1,13772,8.792273306,5079,39057,4,72.78645833,23.46643519,0.629340278,1.121238426,2.314814815,60.4,-45.55
1043,Cullman County,AL,1,83768,43.25267563,31179,45796,3.2,95.85700247,1.337455957,0.645957671,0.67232329,4.433019343,53.8,-77.8
1045,Dale County,AL,1,49172,33.89312549,19165,45309,4.1,73.77849498,20.96167988,0.800719013,1.419642128,6.638614266,46.9,-50.44
