states,abbr,Emergency Declaration,Primary Election Postponement,School Closures,Individual Face Covering Recommandation,Public Face Covering Requirement,Social Distancing,Large Gathering Ban,Gathering Ban,Gathering Ban Lifted,Nonessential Business Limitation/Closure,Nonessential Business Closure Lifted,Stay at Home Order,Stay at Home Order Lifted,Mandatory Quarantine for Travelers,Restaurant&Bar Limitation/Closure,Limited Gathering Number
Alabama,AL,51,56,64,97,110,65,65,72,0,65,110,72,97,0,0,10
Alaska,AK,49,0,78,72,93,65,0,93,0,65,107,65,93,61,0,0
Arizona,AZ,49,0,68,0,147,65,55,0,0,58,110,69,115,76,0,10
Arkansas,AR,49,0,58,0,103,64,64,0,145,57,110,0,0,113,0,10
California,CA,42,0,70,0,148,50,0,54,0,54,107,57,0,0,0,0
Colorado,CO,48,0,71,0,148,57,65,0,0,55,124,64,95,0,0,10
Connecticut,CT,48,89,50,0,86,54,54,0,0,58,146,60,117,0,0,50
Delaware,DE,50,62,93,0,0,54,0,0,0,61,107,60,130,67,0,0
District of Columbia,DC,49,0,58,0,147,64,58;64,0,0,64,152,68,128,62,0,50;10
Florida,FL,47,0,87,0,135,54,133,0,0,58,110,70,103,0,156,50
Geogia,GA,52,52,56,0,141,0,61,0,0,61,0,0,0,0,0,0
Hawaii,HI,42,0,53,0,86,0,55;149,0,0,55,106,61,0,69,131,10;10
Idoha,ID,51,0,63,0,0,0,63,0,0,63,100,57,100,84,115,0
Illinois,IL,47,0,55,0,99,128,58,0,0,58,128,58,128,0,54,10
Indiana,IN,44,58,57,0,100,100,100;120,0,0,61,0,61,103,0,121,10;100
Iowa,IA,47,0,53,0,0,0,0,0,0,64,125,0,0,0,55,0
Kansas,KS,50,0,55,0,163,55,55;63;103;118,0,0,85,0,66,103,61,63,50;10;10;15
Kentucky,KY,44,54,54,0,110,57,124,0,0,61,0,0,0,68,0,10
Louisiana,LA,49,51,51,0,114,0,61,0,0,61,0,61,114,0,54,10
Maine,ME,53,79,53,0,100,0,56,0,0,62,0,70,100,0,54,10
Maryland,MD,43,55,54,0,84,0,50,0,0,61,0,68,114,0,53,0
Masschusetts,MA,48,0,53,0,105,0,53;57,0,0,62,118,0,0,65,0,15;10
Michigan,MI,48,0,54,0,93,0,0,0,0,61,0,61,131,0,55,0
Minnesota,MN,51,0,53,0,99,0,126,0,0,0,0,63,117,0,54,10
Mississippi,MS,52,58,57,0,103,0,62,0,0,0,0,69,96,0,62,10
Missouri,MO,51,0,59,0,0,0,72,0,0,72,0,72,103,0,59,25
Montana,MT,50,0,53,0,0,0,0,0,0,0,0,64,95,68,58,0
Nebraska,NE,51,0,63,0,120,0,57,0,0,0,0,0,0,0,68,10
Nevada,NV,51,0,53,0,154,0,57,0,0,58,0,70,128,0,0,10
New Hamshire,NH,51,0,53,0,0,0,0,0,0,64,110,64,131,0,0,0
New Jersey,NJ,47,77,54,0,77,54,54;112,0,0,59,117,59,114,154,0,50;10
New Maxico,NM,49,0,51,0,104,0,54,0,0,61,114,61,114,65,0,0
New York,NY,45,66,54,0,81,0,62;121;156,0,0,58,113,58,113,154,52,0;0;50
North Carolina,NC,48,0,61,0,156,61,63;67,0,0,92,107,65,121,0,0,50;10
North Dakta,ND,51,0,53,0,0,0,0,0,0,71,100,0,0,66,57,0
Ohio,OH,47,54,50,0,99,0,0,0,0,71,100,60,119,60,53,0
Oklahama,OK,53,0,54,0,0,0,0,0,0,70,93,62,111,67,0,0
Oregon,OR,46,0,55,0,0,0,55,0,0,61,114,61,114,0,54,20
Pennsylvania,PA,44,0,51,0,0,0,0,0,0,57,107,61,114,0,54,0
Rhode Island,RI,47,61,56,0,0,0,0,0,0,79,108,51,108,66,0,0
South Carolina,SC,51,0,53,0,0,0,75,0,0,69,89,75,103,65,0,10
South Dakota,SD,51,0,54,0,0,0,0,0,0,0,0,0,0,0,130,0
Tennessee,TN,50,0,58,0,0,0,0,0,0,82,98,69,98,0,61,0
Texas,TX,51,0,58,0,154,0,69,0,0,57,107,71,107,68,69,0
Utah,UT,44,0,54,0,98,0,56,0,0,0,0,65,100,65,56,0
Vermont,VT,51,0,56,0,131,0,0,0,0,62,89,62,114,68,55,0
Virginia,VA,50,82,54,0,125,0,84,0,0,62,114,68,114,0,0,15
Washington,WA,38,0,55,0,156,0,61,0,0,71,113,61,113,0,54,0
West Virginia,WV,42,70,51,0,117,0,0,0,0,62,103,62,103,51,55,0
Wisconsin,WI,50,0,56,0,0,0,55,0,0,85,110,63,112,0,55,0
Wyoming,WY,51,0,58,0,145,0,65,0,0,0,0,0,0,72,65,0
